"COPYRIGHT_ID","NAME","COPYRIGHT","TERMS_OF_USE","URL"
"BINS","Bayley Infant Neurodevelopmental Screener (BINS)","Copyright © 1995 NCS Pearson, Inc.","Reproduced with permission. All rights reserved. ""Bayley Infant Neurodevelopmental Screener"" and ""BINS"" are trademarks, in the US and/or other countries, of Pearson Education, Inc. or its affiliates(s).","https://psychcorp.pearsonassessments.com/HAIWEB/Cultures/en-us/Productdetail.htm?Pid=015-8028-708&Mode=summary"
"HAQ","Health Assessment Questionnaire (HAQ)","Copyright © Stanford University.","Used with permission.","http://aramis.stanford.edu/"
"MAST-G","Michigan Alcoholism Screening Test–Geriatric Version (MAST-G)","Copyright © 1991 The Regents of the University of Michigan.","Used with permission.",
"CHB","Children’s Hospital Boston","Copyright © 2009 Children’s Hospital Boston.","Used with permission.","http://www.ceasar.org/CRAFFT/pdf/CRAFFT_English.pdf"
"CPA","Centre for Policy on Ageing","Copyright © 1962 Centre for Policy on Ageing (formerly NCCOP), London, UK.","Reproduced with permission.","http://www.cpa.org.uk/pubs/cpa_publications.html"
"ADVault","ADVault, Inc.","Copyright © 2014 ADVault, Inc.","Used with permission.","https://mydirectives.com/en/about/terms/"
"NIH_Tbox","National Institutes of Health Toolbox","Copyright © 2006-2016 National Institutes of Health and Northwestern University.","Used with permission.","http://www.nihtoolbox.org/Terms%20and%20Conditions/Pages/default.aspx"
"JRheu_PAS","The Journal of Rheumatology","Copyright © 2005 The Journal of Rheumatology.","Used with permission.","http://www.jrheum.com/reprints.html"
"ESI","ESI Triage Research Team","ESI Copyright © 2004, ESI Triage Research Team","Used with permission.","http://www.ESItriage.org/"
"COOP","Dartmouth College/COOP Project","Copyright © 2009 Trustees of Dartmouth College/COOP Project.","Used with permission.","http://www.dartmouthcoopproject.org/coopcharts.html"
"WHO_AUDIT","World Health Organization (WHO)","Copyright © 2001 World Health Organization.","Used with permission.","http://www.who.int/about/licensing/en/"
"CTAS","Canadian Triage and Acuity Scale","Copyright © Canadian Triage and Acuity Scale","Used with permission","http://caep.ca/resources/ctas"
"AAAM_AIS","Association for the Advancement of Automotive Medicine (AAAM)","Copyright © 2008 Association for the Advancement of Automotive Medicine (AAAM).","Used with Permission. Use of the Abbreviated Injury Scale (AIS) requires a license. Both individual use and site licenses can be purchased from AAAM.","http://www.aaam.org/about-ais.html"
"BPI","Charles S. Cleeland, Ph.D.","Copyright © 1991 Dr. Charles S. Cleeland","Used with permission.","http://www.mdanderson.org/education-and-research/departments-programs-and-labs/departments-and-divisions/symptom-research/symptom-assessment-tools/brief-pain-inventory.html#NoticeofCopyright"
"AAP","American Academy of Pediatrics","Portions Copyright © 2002 American Academy of Pediatrics.","Used with permission.","http://shop.aap.org/licensing-permissions/"
"FIOH_OSQ","Finnish Institute of Occupational Health, Occupational Stress Questionnaire","Occupational stress questionnaire™ (OSQ™); Copyright by Finnish Institute of Occupational Health; Elo A-L, Leppänen A, Lindström K, Ropponen T (2012).www.ttl.fi","Used with permission","http://www.ttl.fi/"
"GPCOG","General Practitioner Assessment of Cognition (GPCOG)","Copyright © 2002 University of New South Wales as represented by the Dementia Collaborative Research Centre – Assessment and Better Care","Used with permission.","http://gpcog.com.au/index.php"
"CareConnections","CareConnections","Portions Copyright © 2015 Therapeutic Associates, Inc.","Used with permission.","http://www.careconnections.com/terms.html"
"AM-PAC","Activity Measure for Post-Acute Care","Portions Copyright © 2013 CRE Care.","Used with permission.","http://www.bu.edu/bostonroc/instruments/am-pac/"
"Elsevier_NDI","Elsevier","This article was published in the JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS, vol14(7) Vernon, H. and Mior, S., The Neck Disability Index: a study of reliability and validity, pp.409 to 415, Copyright © Elsevier (1991)","Used with permission",
"OPTUM","Optum","Copyright @ 2004 Optum.","Used with permission.",
"CAMH_DAST","Center for Addiction and Mental Health","Copyright © 1982 Center for Addiction and Mental Health.","Used with permission.","http://www.camh.ca/en/hospital/Pages/home.aspx"
"Regeneron","Regeneron Pharmaceuticals","Copyright © 1996 Regeneron Pharmaceuticals.","Used with permission.",
